region,wartosc,typ_uczelni,rok
ŁÓDZKIE,3477.0,uczelnie niepubliczne,2020
MAŁOPOLSKIE,5239.0,uczelnie niepubliczne,2020
MAZOWIECKIE,18871.0,uczelnie niepubliczne,2020
OPOLSKIE,1213.0,uczelnie niepubliczne,2020
PODKARPACKIE,2698.0,uczelnie niepubliczne,2020
PODLASKIE,1282.0,uczelnie niepubliczne,2020
POMORSKIE,6133.0,uczelnie niepubliczne,2020
ŚLĄSKIE,8596.0,uczelnie niepubliczne,2020
ŚWIĘTOKRZYSKIE,1729.0,uczelnie niepubliczne,2020
WARMIŃSKO-MAZURSKIE,1527.0,uczelnie niepubliczne,2020
WIELKOPOLSKIE,7041.0,uczelnie niepubliczne,2020
ZACHODNIOPOMORSKIE,1662.0,uczelnie niepubliczne,2020
DOLNOŚLĄSKIE,7963.0,uczelnie niepubliczne,2021
KUJAWSKO-POMORSKIE,4510.0,uczelnie niepubliczne,2021
LUBELSKIE,5143.0,uczelnie niepubliczne,2021
LUBUSKIE,130.0,uczelnie niepubliczne,2021
ŁÓDZKIE,3537.0,uczelnie niepubliczne,2021
MAŁOPOLSKIE,6006.0,uczelnie niepubliczne,2021
MAZOWIECKIE,21253.0,uczelnie niepubliczne,2021
OPOLSKIE,1352.0,uczelnie niepubliczne,2021
PODKARPACKIE,2752.0,uczelnie niepubliczne,2021
PODLASKIE,1024.0,uczelnie niepubliczne,2021
POMORSKIE,6098.0,uczelnie niepubliczne,2021
ŚLĄSKIE,8937.0,uczelnie niepubliczne,2021
ŚWIĘTOKRZYSKIE,1610.0,uczelnie niepubliczne,2021
WARMIŃSKO-MAZURSKIE,1302.0,uczelnie niepubliczne,2021
WIELKOPOLSKIE,7189.0,uczelnie niepubliczne,2021
ZACHODNIOPOMORSKIE,1768.0,uczelnie niepubliczne,2021
DOLNOŚLĄSKIE,8317.0,uczelnie niepubliczne,2022
KUJAWSKO-POMORSKIE,4276.0,uczelnie niepubliczne,2022
LUBELSKIE,5349.0,uczelnie niepubliczne,2022
LUBUSKIE,173.0,uczelnie niepubliczne,2022
ŁÓDZKIE,4303.0,uczelnie niepubliczne,2022
MAŁOPOLSKIE,6249.0,uczelnie niepubliczne,2022
MAZOWIECKIE,22716.0,uczelnie niepubliczne,2022
OPOLSKIE,1376.0,uczelnie niepubliczne,2022
PODKARPACKIE,3107.0,uczelnie niepubliczne,2022
PODLASKIE,1051.0,uczelnie niepubliczne,2022
POMORSKIE,6953.0,uczelnie niepubliczne,2022
ŚLĄSKIE,9846.0,uczelnie niepubliczne,2022
ŚWIĘTOKRZYSKIE,1455.0,uczelnie niepubliczne,2022
WARMIŃSKO-MAZURSKIE,1259.0,uczelnie niepubliczne,2022
WIELKOPOLSKIE,8166.0,uczelnie niepubliczne,2022
ZACHODNIOPOMORSKIE,1762.0,uczelnie niepubliczne,2022
DOLNOŚLĄSKIE,9662.0,uczelnie niepubliczne,2023
KUJAWSKO-POMORSKIE,5154.0,uczelnie niepubliczne,2023
LUBELSKIE,5350.0,uczelnie niepubliczne,2023
LUBUSKIE,176.0,uczelnie niepubliczne,2023
ŁÓDZKIE,4857.0,uczelnie niepubliczne,2023
MAŁOPOLSKIE,6988.0,uczelnie niepubliczne,2023
MAZOWIECKIE,24085.0,uczelnie niepubliczne,2023
OPOLSKIE,1383.0,uczelnie niepubliczne,2023
PODKARPACKIE,2774.0,uczelnie niepubliczne,2023
PODLASKIE,1445.0,uczelnie niepubliczne,2023
POMORSKIE,8370.0,uczelnie niepubliczne,2023
ŚLĄSKIE,10617.0,uczelnie niepubliczne,2023
ŚWIĘTOKRZYSKIE,1592.0,uczelnie niepubliczne,2023
