region,rok,saldo_migracji_ogółem,wymeldowania_do_miast_ogółem,wymeldowania_na_wieś_ogółem,wymeldowania_ogółem_kobiety,wymeldowania_ogółem_mężczyźni,wymeldowania_ogółem_ogółem,zameldowania_ogółem_kobiety,zameldowania_ogółem_mężczyźni,zameldowania_ogółem_ogółem,zameldowania_z_miast_ogółem,zameldowania_ze_wsi_ogółem
MAZOWIECKIE,2004,13326.0,26041.0,17426.0,23142.0,20325.0,43467.0,30699.0,26094.0,56793.0,39837.0,16956.0
MAZOWIECKIE,2005,14520.0,25952.0,16354.0,22605.0,19701.0,42306.0,30967.0,25859.0,56826.0,39946.0,16880.0
MAZOWIECKIE,2006,16268.0,29682.0,18681.0,25984.0,22379.0,48363.0,35169.0,29462.0,64631.0,45225.0,19406.0
MAZOWIECKIE,2007,14946.0,30750.0,21250.0,27925.0,24075.0,52000.0,36434.0,30512.0,66946.0,46574.0,20372.0
MAZOWIECKIE,2008,11119.0,24894.0,16481.0,22515.0,18860.0,41375.0,28921.0,23573.0,52494.0,36884.0,15610.0
MAZOWIECKIE,2009,11471.0,23384.0,16457.0,21934.0,17907.0,39841.0,28517.0,22795.0,51312.0,35856.0,15456.0
MAZOWIECKIE,2010,12687.0,25821.0,18001.0,23885.0,19937.0,43822.0,31268.0,25241.0,56509.0,40040.0,16469.0
MAZOWIECKIE,2011,13700.0,25491.0,16643.0,23048.0,19086.0,42134.0,30733.0,25101.0,55834.0,39183.0,16651.0
MAZOWIECKIE,2012,12802.0,23811.0,15581.0,21394.0,17998.0,39392.0,28638.0,23556.0,52194.0,36038.0,16156.0
MAZOWIECKIE,2013,13457.0,25795.0,16449.0,22740.0,19504.0,42244.0,30124.0,25577.0,55701.0,38103.0,17598.0
MAZOWIECKIE,2014,13141.0,25801.0,15835.0,22557.0,19079.0,41636.0,29910.0,24867.0,54777.0,37042.0,17735.0
MAZOWIECKIE,2015,12385.0,23960.0,14770.0,20929.0,17801.0,38730.0,27665.0,23450.0,51115.0,34405.0,16710.0
MAZOWIECKIE,2016,11167.0,22395.0,14248.0,19829.0,16814.0,36643.0,26031.0,21779.0,47810.0,32190.0,15620.0
MAZOWIECKIE,2017,12029.0,24174.0,15257.0,21107.0,18324.0,39431.0,27793.0,23667.0,51460.0,34677.0,16783.0
MAZOWIECKIE,2018,14686.0,28020.0,17401.0,24463.0,20958.0,45421.0,32418.0,27689.0,60107.0,40651.0,19456.0
MAZOWIECKIE,2019,15777.0,29286.0,18685.0,25741.0,22230.0,47971.0,34469.0,29279.0,63748.0,43231.0,20517.0
MAZOWIECKIE,2020,10448.0,22318.0,16991.0,21056.0,18253.0,39309.0,26590.0,23167.0,49757.0,33712.0,16045.0
MAZOWIECKIE,2021,10834.0,24835.0,20006.0,23724.0,21117.0,44841.0,29485.0,26190.0,55675.0,38007.0,17668.0
MAZOWIECKIE,2022,9368.0,23352.0,19691.0,22798.0,20245.0,43043.0,27908.0,24503.0,52411.0,35762.0,16649.0
MAZOWIECKIE,2023,10217.0,24822.0,20407.0,23714.0,21515.0,45229.0,29058.0,26388.0,55446.0,38050.0,17396.0
MAZOWIECKIE,2024,10289.0,26352.0,20940.0,24680.0,22612.0,47292.0,30017.0,27564.0,57581.0,39227.0,18354.0
MAZOWIECKIE,2025,,,,,,,,,,,
MAŁOPOLSKIE,1999,1944.0,,,11019.0,9658.0,20677.0,12170.0,10451.0,22621.0,,
MAŁOPOLSKIE,2000,2376.0,9884.0,8426.0,9725.0,8585.0,18310.0,11127.0,9559.0,20686.0,12884.0,7802.0
MAŁOPOLSKIE,2001,2644.0,9477.0,7733.0,9181.0,8029.0,17210.0,10740.0,9114.0,19854.0,12496.0,7358.0
MAŁOPOLSKIE,2002,2986.0,9869.0,8335.0,9604.0,8600.0,18204.0,11292.0,9898.0,21190.0,14155.0,7035.0
MAŁOPOLSKIE,2003,3298.0,10736.0,9712.0,10901.0,9547.0,20448.0,12826.0,10920.0,23746.0,16000.0,7746.0
MAŁOPOLSKIE,2004,3255.0,10181.0,9894.0,10623.0,9452.0,20075.0,12523.0,10807.0,23330.0,15411.0,7919.0
MAŁOPOLSKIE,2005,3153.0,10413.0,9149.0,10452.0,9110.0,19562.0,12420.0,10295.0,22715.0,15019.0,7696.0
MAŁOPOLSKIE,2006,3309.0,10828.0,10207.0,11151.0,9884.0,21035.0,13063.0,11281.0,24344.0,15962.0,8382.0
MAŁOPOLSKIE,2007,3323.0,10963.0,11378.0,11843.0,10498.0,22341.0,13688.0,11976.0,25664.0,17061.0,8603.0
MAŁOPOLSKIE,2008,2801.0,9127.0,8899.0,9778.0,8248.0,18026.0,11417.0,9410.0,20827.0,14068.0,6759.0
MAŁOPOLSKIE,2009,3643.0,9353.0,9430.0,10261.0,8522.0,18783.0,12542.0,9884.0,22426.0,15073.0,7353.0
MAŁOPOLSKIE,2010,3673.0,9647.0,9951.0,10582.0,9016.0,19598.0,12771.0,10500.0,23271.0,15993.0,7278.0
MAŁOPOLSKIE,2011,3783.0,9970.0,9865.0,10767.0,9068.0,19835.0,12996.0,10622.0,23618.0,15792.0,7826.0
MAŁOPOLSKIE,2012,3354.0,9133.0,9281.0,9880.0,8534.0,18414.0,11856.0,9912.0,21768.0,14474.0,7294.0
MAŁOPOLSKIE,2013,3775.0,10262.0,10196.0,10896.0,9562.0,20458.0,12956.0,11277.0,24233.0,15872.0,8361.0
MAŁOPOLSKIE,2014,3572.0,10132.0,9371.0,10456.0,9047.0,19503.0,12539.0,10536.0,23075.0,14971.0,8104.0
MAŁOPOLSKIE,2015,3770.0,9868.0,8973.0,10021.0,8820.0,18841.0,12040.0,10571.0,22611.0,14434.0,8177.0
MAŁOPOLSKIE,2016,3376.0,9495.0,8833.0,9807.0,8521.0,18328.0,11652.0,10052.0,21704.0,13672.0,8032.0
MAŁOPOLSKIE,2017,3760.0,10347.0,9447.0,10466.0,9328.0,19794.0,12612.0,10942.0,23554.0,14830.0,8724.0
MAŁOPOLSKIE,2018,4842.0,12450.0,9920.0,11951.0,10419.0,22370.0,14602.0,12610.0,27212.0,16720.0,10492.0
MAŁOPOLSKIE,2019,5914.0,14133.0,10525.0,13231.0,11427.0,24658.0,16556.0,14016.0,30572.0,18687.0,11885.0
MAŁOPOLSKIE,2020,3412.0,10278.0,9552.0,10418.0,9412.0,19830.0,12277.0,10965.0,23242.0,14300.0,8942.0
MAŁOPOLSKIE,2021,4112.0,11570.0,11359.0,12118.0,10811.0,22929.0,14274.0,12767.0,27041.0,16539.0,10502.0
MAŁOPOLSKIE,2022,3553.0,11118.0,11277.0,11829.0,10566.0,22395.0,13709.0,12239.0,25948.0,15834.0,10114.0
MAŁOPOLSKIE,2023,3800.0,11560.0,10898.0,11808.0,10650.0,22458.0,13896.0,12362.0,26258.0,15863.0,10395.0
MAŁOPOLSKIE,2024,4043.0,11933.0,11183.0,12065.0,11051.0,23116.0,14208.0,12951.0,27159.0,16447.0,10712.0
MAŁOPOLSKIE,2025,,,,,,,,,,,
OPOLSKIE,1999,-22.0,,,3900.0,3598.0,7498.0,3882.0,3594.0,7476.0,,
OPOLSKIE,2000,-88.0,4016.0,2733.0,3491.0,3258.0,6749.0,3448.0,3213.0,6661.0,3927.0,2734.0
OPOLSKIE,2001,-247.0,3673.0,2629.0,3314.0,2988.0,6302.0,3165.0,2890.0,6055.0,3761.0,2294.0
OPOLSKIE,2002,-682.0,4007.0,2780.0,3522.0,3265.0,6787.0,3151.0,2954.0,6105.0,3682.0,2423.0
OPOLSKIE,2003,-540.0,3963.0,2963.0,3603.0,3323.0,6926.0,3374.0,3012.0,6386.0,4025.0,2361.0
OPOLSKIE,2004,-421.0,4170.0,2909.0,3676.0,3403.0,7079.0,3512.0,3146.0,6658.0,4133.0,2525.0
OPOLSKIE,2005,-633.0,4006.0,2670.0,3490.0,3186.0,6676.0,3169.0,2874.0,6043.0,3822.0,2221.0
OPOLSKIE,2006,-837.0,4384.0,3054.0,3862.0,3576.0,7438.0,3531.0,3070.0,6601.0,4055.0,2546.0
OPOLSKIE,2007,-745.0,4436.0,3513.0,4151.0,3798.0,7949.0,3831.0,3373.0,7204.0,4462.0,2742.0
OPOLSKIE,2008,-439.0,3574.0,2944.0,3521.0,2997.0,6518.0,3307.0,2772.0,6079.0,3770.0,2309.0
OPOLSKIE,2009,-616.0,3770.0,3010.0,3669.0,3111.0,6780.0,3347.0,2817.0,6164.0,3710.0,2454.0
OPOLSKIE,2010,-671.0,3955.0,2987.0,3678.0,3264.0,6942.0,3316.0,2955.0,6271.0,3805.0,2466.0
OPOLSKIE,2011,-664.0,3888.0,2902.0,3661.0,3129.0,6790.0,3328.0,2798.0,6126.0,3723.0,2403.0
OPOLSKIE,2012,-437.0,3625.0,2699.0,3394.0,2930.0,6324.0,3186.0,2701.0,5887.0,3563.0,2324.0
OPOLSKIE,2013,-892.0,4096.0,2965.0,3649.0,3412.0,7061.0,3226.0,2943.0,6169.0,3626.0,2543.0
OPOLSKIE,2014,-691.0,3838.0,2689.0,3371.0,3156.0,6527.0,3075.0,2761.0,5836.0,3474.0,2362.0
OPOLSKIE,2015,-810.0,3589.0,2449.0,3174.0,2864.0,6038.0,2797.0,2431.0,5228.0,2977.0,2251.0
OPOLSKIE,2016,-726.0,3614.0,2445.0,3210.0,2849.0,6059.0,2829.0,2504.0,5333.0,3067.0,2266.0
OPOLSKIE,2017,-745.0,3745.0,2511.0,3215.0,3041.0,6256.0,2875.0,2636.0,5511.0,3251.0,2260.0
OPOLSKIE,2018,-691.0,4251.0,2657.0,3594.0,3314.0,6908.0,3291.0,2926.0,6217.0,3605.0,2612.0
OPOLSKIE,2019,-1007.0,4431.0,2893.0,3902.0,3422.0,7324.0,3351.0,2966.0,6317.0,3626.0,2691.0
OPOLSKIE,2020,-747.0,3617.0,2543.0,3241.0,2919.0,6160.0,2876.0,2537.0,5413.0,3166.0,2247.0
OPOLSKIE,2021,-764.0,3697.0,2880.0,3391.0,3186.0,6577.0,3036.0,2777.0,5813.0,3400.0,2413.0
OPOLSKIE,2022,-732.0,3397.0,2761.0,3165.0,2993.0,6158.0,2805.0,2621.0,5426.0,3229.0,2197.0
OPOLSKIE,2023,-954.0,3632.0,2642.0,3247.0,3027.0,6274.0,2779.0,2541.0,5320.0,3232.0,2088.0
OPOLSKIE,2024,-783.0,3646.0,2975.0,3517.0,3104.0,6621.0,3109.0,2729.0,5838.0,3508.0,2330.0
OPOLSKIE,2025,,,,,,,,,,,
PODKARPACKIE,1999,-1528.0,,,7974.0,6920.0,14894.0,7041.0,6325.0,13366.0,,
PODKARPACKIE,2000,-1730.0,7413.0,6120.0,7171.0,6362.0,13533.0,6159.0,5644.0,11803.0,6089.0,5714.0
PODKARPACKIE,2001,-1791.0,7594.0,6166.0,7271.0,6489.0,13760.0,6278.0,5691.0,11969.0,6284.0,5685.0
PODKARPACKIE,2002,-2431.0,8127.0,6572.0,7663.0,7036.0,14699.0,6338.0,5930.0,12268.0,6493.0,5775.0
PODKARPACKIE,2003,-2192.0,8376.0,6860.0,8056.0,7180.0,15236.0,6731.0,6313.0,13044.0,7300.0,5744.0
