region,rok,"gimnazjalne,_podstawowe_i_niższe_ogółem_wartość_liczbowa","gimnazjalne,_podstawowe_i_niższe_ogółem_wskaźnik_precyzji",policealne_oraz_średnie_zawodowe/branżowe_ogółem_wartość_liczbowa,policealne_oraz_średnie_zawodowe/branżowe_ogółem_wskaźnik_precyzji,wyższe_ogółem_wartość_liczbowa,wyższe_ogółem_wskaźnik_precyzji,zasadnicze_zawodowe/branżowe_ogółem_wartość_liczbowa,zasadnicze_zawodowe/branżowe_ogółem_wskaźnik_precyzji,średnie_(łącznie_z_zasadniczym_zawodowym/branżowym_i_policealnym)_ogółem_wartość_liczbowa,średnie_(łącznie_ze_średnim_zawodowym/branżowym_i_ogólnokształcącym)_ogółem_wartość_liczbowa,średnie_ogólnokształcące_ogółem_wartość_liczbowa,średnie_ogólnokształcące_ogółem_wskaźnik_precyzji,średnie_zawodowe/branżowe_ogółem_wartość_liczbowa,średnie_zawodowe/branżowe_ogółem_wskaźnik_precyzji
MAZOWIECKIE,2010,15.9,2.18,24.2,1.43,27.2,1.91,20.2,1.85,57,33.8,12.6,1.94,21.2,1.63
MAZOWIECKIE,2011,14.9,3.18,23.9,2.09,27.8,2.58,21.2,2.57,57.3,32.8,12.2,3.07,20.6,2.24
MAZOWIECKIE,2012,14.6,2.65,23.1,1.94,29.2,2.27,21,2.38,56.2,31.8,12.1,2.74,19.7,2.15
MAZOWIECKIE,2013,14.8,2.87,22.2,2.21,30.7,2.23,20.1,2.28,54.4,31.3,12.1,2.98,19.2,2.44
MAZOWIECKIE,2014,14,3.03,21,2.18,33,2.03,20.2,2.48,53.1,30,11.9,2.91,18.1,2.41
MAZOWIECKIE,2015,13.5,3.05,21.5,2.18,33.5,2,20.2,2.48,53,30,11.3,3.19,18.7,2.33
MAZOWIECKIE,2016,12.9,2.33,21.8,2.15,34,1.74,20,2.4,53.1,30.5,11.3,2.8,19.2,2.27
MAZOWIECKIE,2017,12.3,2.44,22.1,2.26,35.7,1.68,18.7,2.78,52,30.6,11.2,2.82,19.4,2.47
MAZOWIECKIE,2018,12.1,2.61,22.1,2.31,37.1,1.77,17.4,2.82,50.8,30.7,11.3,3.19,19.4,2.47
MAZOWIECKIE,2019,11.6,2.66,21.2,2.52,38.7,1.69,16.9,2.68,49.7,29.8,11.6,3.37,18.2,2.73
MAZOWIECKIE,2020,11.8,2.8,20.9,2.6,39.2,1.8,17.2,2.9,48.9,28.8,10.8,3.5,18,2.8
MAZOWIECKIE,2021,11,3.15,21.2,2.5,40,1.64,15.6,2.79,49,30.5,12.2,3.28,18.3,2.73
MAZOWIECKIE,2022,10.8,3.34,21.2,2.63,40.6,1.65,14.6,3.04,48.5,31.3,12.7,3.34,18.6,2.84
